"year","post.mean","post.SD","post.025","post.975"
1917,-0.480682580717712,0.0217942854046544,-0.523001894275064,-0.437322262208061
1918,-0.338775597068027,0.021421525765762,-0.381028234891014,-0.296608660718032
1919,-0.295509417742193,0.0214696675317212,-0.337807852314173,-0.253645359819226
1920,-0.273610749240071,0.0212217981046506,-0.315679052584035,-0.232121700839724
1921,-0.201311771051485,0.0212548709905611,-0.243350111930339,-0.16042385298695
1922,-0.286883160743876,0.0208298763876283,-0.327963616211172,-0.246341457118978
1923,-0.275067449138368,0.0207443483240351,-0.315568668230525,-0.234236668820137
1924,-0.276295556063333,0.0207039843710756,-0.317083426277761,-0.23588081727642
1925,-0.218213253657146,0.0209128774744639,-0.259601718067655,-0.177621330103604
1926,-0.107154931245914,0.0207917187032297,-0.148199851440546,-0.0665865485817608
1927,-0.208800426568516,0.0206165490265112,-0.249032095997525,-0.168425817268766
1928,-0.210953649702281,0.0209022360284768,-0.252424341680507,-0.170057292232582
1929,-0.348891825589591,0.0208003232748907,-0.389815775603003,-0.30799280521188
1930,-0.155613664126921,0.0206627186654372,-0.196389456756498,-0.115132517669142
1931,-0.089135257552732,0.0203676708362484,-0.129541155876351,-0.0490957066122912
1932,-0.145894452701657,0.0205981066500261,-0.186776275085491,-0.105932448982151
1933,-0.275418706949327,0.0203132336837497,-0.315122920493575,-0.235037873087998
1934,-0.144190662771833,0.0200012226391105,-0.183756825885176,-0.105077081690787
1935,-0.190328584201686,0.0200947828457457,-0.229850948214604,-0.150851992270065
1936,-0.136827681612015,0.0199734366815808,-0.176097256028375,-0.0974552416911653
1937,-0.0179889353054613,0.0204012151819494,-0.0579616356820447,0.0220642840556011
1938,-0.00399148569181128,0.020494240439604,-0.0441763631758197,0.0366375328296414
1939,-0.0472758295804461,0.0204709485535619,-0.0879835139505942,-0.00696281469587379
1940,0.0178481991756009,0.0209142283056303,-0.0231720567282639,0.0589801198943425
1941,0.0563765222119232,0.0210692150232766,0.0140990643244562,0.097226449190641
1942,-0.00264986616659514,0.0207969648875883,-0.0436460835194943,0.0382770455485245
1943,0.0194573957438751,0.0206610848300717,-0.0212447297021925,0.0600712318900383
1944,0.117090952605826,0.0212662111620636,0.0743557194913057,0.158021531399468
1945,0.00188624580950532,0.0210488078596886,-0.0397009780644709,0.042976988765237
1946,-0.105744049012088,0.0207441261508641,-0.146243479431758,-0.0649314321596002
1947,-0.0647223863636425,0.0208242960285145,-0.105673622009482,-0.0239755326881937
1948,-0.097443417116684,0.0209553051941128,-0.138712734515912,-0.056672374873327
1949,-0.109627015660936,0.0201715208150216,-0.149287756489794,-0.0700078436388812
1950,-0.187083636982348,0.0197784619177408,-0.22622292990675,-0.148307811237187
1951,-0.0656489749352995,0.0198339235537442,-0.104733384253599,-0.0265259382896007
1952,-0.00440803120013393,0.0199007621700419,-0.0437718830897194,0.0345687039494103
1953,0.0559822009344056,0.019891581244809,0.0168812680023281,0.0948717432109429
1954,-0.146479295836627,0.01964007588055,-0.184674776341501,-0.107764744653882
1955,-0.176404171852982,0.0194661264353809,-0.214415626052023,-0.1378595811289
1956,-0.235226690479611,0.0189432575417703,-0.272069964350443,-0.19757725146354
1957,-0.00328452036101644,0.0187161628943717,-0.0398458506280018,0.0337378983182097
1958,0.0209942352007327,0.0186165099803459,-0.0158084562770076,0.0572118204118965
1959,-0.014789505528782,0.0184897298942822,-0.0507530742764885,0.0214839094081897
1960,-0.0767671485198146,0.0185524967272217,-0.113211345737083,-0.0405417864267373
1961,0.00791471836676694,0.0182996058793839,-0.0278736024319153,0.0437159636994698
1962,-0.0165666641584606,0.0183410085562643,-0.0526807353214178,0.0192343440305902
1963,0.00774574230575589,0.0184837309394858,-0.0284088307138846,0.0440666826586671
1964,-0.237203235133976,0.0177540640278947,-0.272017799852801,-0.202321639858301
1965,-0.151556861869808,0.018094788234855,-0.187115567432191,-0.116254377556354
1966,-0.0887991578406617,0.0183944046174769,-0.125552822655181,-0.0532308672278268
1967,-0.0638962565133869,0.0179792009072762,-0.0986290436629692,-0.0286837069602938
1968,-0.116100556824227,0.0178212698190438,-0.151169298604563,-0.0812805202157775
1969,0.00778099308965011,0.0178301225033788,-0.0274541620121366,0.0426537416499855
1970,-0.0366415781163695,0.0177031730620396,-0.0712664506986063,-0.00213962412583021
1971,-0.145958969083662,0.0176691706828539,-0.180593427423537,-0.111254996184066
1972,-0.0494476339404552,0.0177038797840922,-0.0838756835502953,-0.0142301506182268
1973,0.0843910233870568,0.0173709372618934,0.0498501452701243,0.11847019668074
1974,-0.139594777058397,0.0175833316867392,-0.173526483160509,-0.104474917289982
1975,-0.0938708825070821,0.0177258757159451,-0.128471297042072,-0.0592211402465365
1976,-0.181287492723263,0.0179799999130433,-0.216215191153122,-0.145356110040559
1977,0.0963532298367976,0.0178031352640983,0.0614058248003914,0.131290663451623
1978,0.00498629647285993,0.0176007764029469,-0.0294748222386693,0.0394591068452632
1979,0.102221347680882,0.0165928562228666,0.0691140759674,0.134629337853205
