"year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1915,-0.151466307547143,-0.186760979587286,-0.217592301348697,-0.210676115005452,-0.1699091196346,-0.180125628162293,-0.163778698126963,-0.198815618481069,-0.175173642971904,-0.196376261490293,-0.167138544156956,-0.168086483510968,-0.164192879713794,-0.181699029726113,-0.191757379877023,-0.176115992633251,-0.15053109865044,-0.21159775967577,-0.214573480779044,-0.164000749395365,-0.148655276153288,-0.182315240581042,-0.150342356277226,-0.209287953599185,-0.190845238647665,-0.180005434639927,-0.175908895475539,-0.216591372402421,-0.168549183108708,-0.216388628025171,-0.165082119854899,-0.178259021492399,-0.14630109039078,-0.189786036386704,-0.154880498144182,-0.146031050324887,-0.168484770246511,-0.184849712079582,-0.188332602873882,-0.195020908221898,-0.1558635332007,-0.192675219811263,-0.215708361538723,-0.205979437937302,-0.191916766452559,-0.18082519606965,-0.168275082555681,-0.148393262079302,-0.164171332441796,-0.132867099875222,-0.171900291225642,-0.160885521869335,-0.181264234483828,-0.172955179833731,-0.166612192799541,-0.188599733101415,-0.171262705778065,-0.171288067028708,-0.16898314090403,-0.172099828755609,-0.157786792896656,-0.186144708916241,-0.186325339630541,-0.178960214534917,-0.163858497427344,-0.181177233364957,-0.152452915849456,-0.207415963447939,-0.15296119204056,-0.166254171699588,-0.176151639839712,-0.172071127037187,-0.162835860556283,-0.191360970108971,-0.205003417601641,-0.150777863170122,-0.189459187426352,-0.190926183333332,-0.143740512924331,-0.157416738211039,-0.14150957067364,-0.192820315115531,-0.170008564807109,-0.158046071831743,-0.179240443728875,-0.165351228836678,-0.147229711903682,-0.16438519447895,-0.203966554088594,-0.180050408993829,-0.202685874850027,-0.165510264970234,-0.137084072945073,-0.189490109037598,-0.159856643058441,-0.18953854116673,-0.183650205664854,-0.194341905405811,-0.188624975282253,-0.156320602116906
1916,-0.397070579924889,-0.38917360131867,-0.380084654498847,-0.34692027085969,-0.408992072956876,-0.412096182603184,-0.381982109545813,-0.405505702658704,-0.398785593647182,-0.40757483905328,-0.414612167336556,-0.379254444078725,-0.376396182187994,-0.397023159350687,-0.405965851006809,-0.397676847531746,-0.397463310525108,-0.402704682732291,-0.377185155134232,-0.401645840022679,-0.391872459426221,-0.407294355705766,-0.372235422538794,-0.361000412960908,-0.389009149896339,-0.423897239027915,-0.396541567507813,-0.412028722430915,-0.37789248532633,-0.364009004638808,-0.432648801320796,-0.401912433232013,-0.38847972468189,-0.363654660292733,-0.414859018285174,-0.400205181413557,-0.386625961965693,-0.425548476502713,-0.424624293456917,-0.403896901408817,-0.37547840958955,-0.409669216709878,-0.405585642976748,-0.400861024545755,-0.411712032202849,-0.405177247599367,-0.376040427656039,-0.376644623993412,-0.355869615357136,-0.397926419728307,-0.404138871476239,-0.379500371287082,-0.414473899050152,-0.388765332015223,-0.403043314904863,-0.381614108212905,-0.394907865838525,-0.37629733892766,-0.402169177532353,-0.407964226574396,-0.399052993049741,-0.349154904257105,-0.393503340592689,-0.374829223493075,-0.357081728881924,-0.363772962104078,-0.401994194411035,-0.388590487755338,-0.406436076367295,-0.387015770934942,-0.394243919740403,-0.359457781646034,-0.347795549295317,-0.386486700267192,-0.420574963737974,-0.40313442659929,-0.39885364917932,-0.3912476715862,-0.373043592804421,-0.402330422889771,-0.368970285908912,-0.412930850350906,-0.42324398173839,-0.377888938110687,-0.407179367904179,-0.40540569923522,-0.368915182390338,-0.373109550574721,-0.410415883045811,-0.383963211446723,-0.356430489702341,-0.414941991104099,-0.406550247166933,-0.438784679312579,-0.417512870286314,-0.374848952143168,-0.377804281699582,-0.443790462783975,-0.37941210806959,-0.403579715594848
1917,-0.483392339383993,-0.48354808007774,-0.445673249280594,-0.463148875862416,-0.508501204649394,-0.490804040052425,-0.466072067224817,-0.473346966148213,-0.453467392740402,-0.487774152489647,-0.484366854403592,-0.477813549079509,-0.457086060253182,-0.458536188422701,-0.493079745737581,-0.479994198245014,-0.47672238168316,-0.49877019245999,-0.451820716912627,-0.516937499565614,-0.466214758489183,-0.510125404564993,-0.485675711619802,-0.490177926894648,-0.508073734904594,-0.461109370421657,-0.480222432840187,-0.447911445315191,-0.477687613023398,-0.441568045236048,-0.500525683603277,-0.488098596433439,-0.496613591325816,-0.521999870096079,-0.528099729651799,-0.491849164316698,-0.464009340353663,-0.458488288019914,-0.503009992575862,-0.492493947379052,-0.48825806574459,-0.501176917311575,-0.484363040879927,-0.455879835418879,-0.462661767767627,-0.482930347394315,-0.469710608101225,-0.464040865959812,-0.471743897904921,-0.490322806521615,-0.477393810394731,-0.4758891678079,-0.47803547330366,-0.482553944859007,-0.478405757245634,-0.536661768272094,-0.465964674497762,-0.499370851808194,-0.486171255641543,-0.499811554726621,-0.469688629388049,-0.467459122816588,-0.486063464455982,-0.504947454515595,-0.511702714326552,-0.511463713371418,-0.449670576326638,-0.498848680958502,-0.523601535802223,-0.457760511665367,-0.491462512066032,-0.469233027385089,-0.470291902974304,-0.482171274367049,-0.482877608904232,-0.493964879724342,-0.476818201112158,-0.493101842961943,-0.469088022797307,-0.536123586474318,-0.463422163585944,-0.512071787367678,-0.499128723294663,-0.484975677077454,-0.475921121729211,-0.452450547239131,-0.454114428403579,-0.442336607045156,-0.486576679796901,-0.520921845078905,-0.428727231527137,-0.520720394578906,-0.461313476592837,-0.498183517421883,-0.505698946643231,-0.502072016743401,-0.526806084566532,-0.476594181093683,-0.467035316722585,-0.453656992144503
1918,-0.341335628916818,-0.335437225897628,-0.334104795224521,-0.336022870406488,-0.331818807070748,-0.324220396893051,-0.311012344527453,-0.305954632112315,-0.31548215336443,-0.33791351553174,-0.322376063212482,-0.324457717513931,-0.340124525870845,-0.326068776684262,-0.341670263973755,-0.373867565578581,-0.30143537359552,-0.340517638023212,-0.353166083336127,-0.345830919204946,-0.317809056959353,-0.33467861370964,-0.318829471109724,-0.340027271518166,-0.331466863911544,-0.339957592079032,-0.323156061752314,-0.38231203619397,-0.340084692337609,-0.350333800451464,-0.321290488513611,-0.375601544697385,-0.348514801971079,-0.343595647847288,-0.37137909930088,-0.325596906255365,-0.373292146046765,-0.378254666067308,-0.32047546539901,-0.320113771350386,-0.346368157888243,-0.365517723253935,-0.319497570659202,-0.328548017657969,-0.373495668474401,-0.326527206379971,-0.311972484644227,-0.326782054309851,-0.354879902662205,-0.313327023694575,-0.342526729023961,-0.336857065964186,-0.362226705010683,-0.359929976899795,-0.366253714584137,-0.257879398568619,-0.329549888603271,-0.309490550257225,-0.298340081572257,-0.339273777032653,-0.377293220842123,-0.353074226589839,-0.315398251424933,-0.342174970202763,-0.315284503002532,-0.341888826394547,-0.339643825556025,-0.368872609248463,-0.323530076551942,-0.350287306572755,-0.351638450100494,-0.34202435052287,-0.344360324490697,-0.355808237506925,-0.33262280501362,-0.360124271838087,-0.342557039133865,-0.325879660344268,-0.334161494089301,-0.332463021089177,-0.324834444749962,-0.294845068607917,-0.338200919499078,-0.348315788818893,-0.325316857990412,-0.354953089272639,-0.364084866367662,-0.310406021530835,-0.369821583428296,-0.386374802581023,-0.326930600030453,-0.330236147695033,-0.309809613150288,-0.339016091822064,-0.304091820223159,-0.367903895051647,-0.327646593325819,-0.352096891470969,-0.363279716797672,-0.323633107790124
1919,-0.304247593504537,-0.305831473336191,-0.297225604620243,-0.272429566826898,-0.280292286371165,-0.31130276943837,-0.305356049520735,-0.271863345370758,-0.294713049246087,-0.280412198868727,-0.29076489340024,-0.35282187754305,-0.291328072622478,-0.293509316345993,-0.300190735967328,-0.28362747940891,-0.307858885963953,-0.263000691620946,-0.272292082004049,-0.249381769931568,-0.28112101653383,-0.291534530223729,-0.341142595280611,-0.298477719753083,-0.320922770739603,-0.306346252944426,-0.247520329323346,-0.302106837415878,-0.284612593250713,-0.25705251145108,-0.305275082772177,-0.290006796363799,-0.315982201203133,-0.309396699180641,-0.266516714381799,-0.271458807588369,-0.299282665927235,-0.277962957986921,-0.307269110041359,-0.298420933523645,-0.293503665769156,-0.32424509451293,-0.316688820338857,-0.304473465494596,-0.297122777426187,-0.317843708940923,-0.289772491858519,-0.299860680912114,-0.306803864389337,-0.305243686762368,-0.301190057287541,-0.297734917159979,-0.309133295795583,-0.30581303347579,-0.290274807035712,-0.315791218853163,-0.317328674020854,-0.283235811574709,-0.303624957631443,-0.300519859422461,-0.283021291072367,-0.265786913122038,-0.31579864341401,-0.299424949399755,-0.290200574177558,-0.334212945579091,-0.298475629372203,-0.290693207887466,-0.323796150971139,-0.315654608076759,-0.301326571306414,-0.272726321319038,-0.285174904799629,-0.298925988308753,-0.320786295680812,-0.309356871610104,-0.26279275478007,-0.293713429921207,-0.3295575643077,-0.309621070879082,-0.282691012696842,-0.339476023600625,-0.285069819075421,-0.318573646923746,-0.295587410339267,-0.272669608377562,-0.283912284674527,-0.302559130391866,-0.254860039392724,-0.302314084764328,-0.259832239328677,-0.28876575807036,-0.28450564377992,-0.288666058392608,-0.281278191851629,-0.270885229663826,-0.272690888406124,-0.261791869115248,-0.271649911018926,-0.282568829063577
1920,-0.284326577516712,-0.268898895377531,-0.270523477646837,-0.284653547827824,-0.270642718461432,-0.271455706323505,-0.256274101460555,-0.271978196430686,-0.284924215720475,-0.291008425112479,-0.25414025801794,-0.270113308280715,-0.249321522703098,-0.285873890396275,-0.263022145840886,-0.248779900081309,-0.248300517319555,-0.245416264442733,-0.267567620253238,-0.306103562165935,-0.239871135600246,-0.289136979513159,-0.271104384370565,-0.251044982968157,-0.304138646686775,-0.264066440569205,-0.263846315821452,-0.248726355806895,-0.267171296048155,-0.311418128685627,-0.240952512525459,-0.264318446105535,-0.26571497008085,-0.312560703931707,-0.266628718215626,-0.29662238693465,-0.289561470858364,-0.249245787278804,-0.286121069174808,-0.247866795980312,-0.295833637603974,-0.291158341378422,-0.324433441326512,-0.248740992713029,-0.264967835807179,-0.289596615029035,-0.293027310391832,-0.274056585698566,-0.296591114284834,-0.262872323863268,-0.275927861498876,-0.294722106515678,-0.252690861240273,-0.23168199995481,-0.290868510560043,-0.270914799951396,-0.266298531930712,-0.271383887030527,-0.258282017835212,-0.260511302886257,-0.27888127009957,-0.251508057216829,-0.297508061192134,-0.271703494816814,-0.246666505826091,-0.225878680277305,-0.282144767149777,-0.265079371999223,-0.302236805178789,-0.292021456253875,-0.279485744923676,-0.29257292397968,-0.254962249894066,-0.287580651885969,-0.288402560584569,-0.263362184652441,-0.28293344720576,-0.260029147633636,-0.263213250124109,-0.288224642697359,-0.257202045759273,-0.295008715713361,-0.253408254722285,-0.272236794729747,-0.295243103261255,-0.288776913100114,-0.262111255298322,-0.254750940201718,-0.283198313577513,-0.269641542314741,-0.265700304156619,-0.279489112188045,-0.286699736572247,-0.306329011527613,-0.285322062135891,-0.252422390631715,-0.279127280789858,-0.291757074531024,-0.315615331929923,-0.264483062242382
1921,-0.189385104321857,-0.155058213457321,-0.201633036540306,-0.208316102801928,-0.225114420989757,-0.209913928385254,-0.208752952584362,-0.215042880110173,-0.186367011118344,-0.199053583476463,-0.154431413800136,-0.207857898376453,-0.209701751522932,-0.205287654654641,-0.213235210495118,-0.217225715265564,-0.199700122688797,-0.198095310004644,-0.21654591659803,-0.239339502751033,-0.204688132729635,-0.205252220134691,-0.215910002632804,-0.161855457778545,-0.217109858149274,-0.182348276989379,-0.208134834570183,-0.187375951455634,-0.206215004737997,-0.191610667533345,-0.205433608010968,-0.220060550317553,-0.203199262016324,-0.19911956036288,-0.206987652367826,-0.208855418749003,-0.19083914223134,-0.244212171715754,-0.241843706525448,-0.268199105368875,-0.232764418583566,-0.186301433101401,-0.196983575348279,-0.226829397281419,-0.170173247109012,-0.204565956430201,-0.1924613561816,-0.207985177993594,-0.217597118855885,-0.221932319711552,-0.223651338290565,-0.188512258251068,-0.227876091546356,-0.226494425890673,-0.216502010551248,-0.253506079158096,-0.21073750525702,-0.202232243411451,-0.195151265285983,-0.198027943426066,-0.227120168127547,-0.208426427192449,-0.213340285494886,-0.219001818509914,-0.173624048529414,-0.198693135375261,-0.205432988597318,-0.214576137659596,-0.220268858140462,-0.170682250920685,-0.21593950013135,-0.185459716425065,-0.197028773515904,-0.1925181232047,-0.213972644528032,-0.231255422593382,-0.195066706147521,-0.18734968793532,-0.144400532198194,-0.20858124777525,-0.234078650961978,-0.206196212784174,-0.14322340249616,-0.221417462714719,-0.202250545266945,-0.200684492348626,-0.253665564938827,-0.186506677990766,-0.213346965443725,-0.217686131721366,-0.194310281340168,-0.185403626874204,-0.218941807829715,-0.214071463940472,-0.171708506661183,-0.204895384074548,-0.203334493784148,-0.189818283319106,-0.186962032408817,-0.180634408080217
1922,-0.266223163117779,-0.27670902453607,-0.304368578246386,-0.284238922193598,-0.268254148196707,-0.268228258051451,-0.277116827520843,-0.286041802183138,-0.268553178981911,-0.275080378592348,-0.260876536146302,-0.255369803184798,-0.292659283687169,-0.29146231742403,-0.285777487977055,-0.269781542117586,-0.266688363320211,-0.338239664343255,-0.279474392410605,-0.251313211772451,-0.255204908489769,-0.300077445764376,-0.316154680578373,-0.288163018582527,-0.25936459066583,-0.286187563569615,-0.306198511543145,-0.298821331145779,-0.315382141927246,-0.295282371601471,-0.275573264230542,-0.240280735288506,-0.24233898016919,-0.293842512945076,-0.262872067253094,-0.284364766139788,-0.237274254486783,-0.282241219680059,-0.28795861698959,-0.26634347892952,-0.267687380759115,-0.278934154137748,-0.292742082661004,-0.270779469499405,-0.288922700994978,-0.29015971536588,-0.272116064531318,-0.30224065919727,-0.31375844994867,-0.292994567383797,-0.288897835382047,-0.270317235096823,-0.283681437092133,-0.308826974889826,-0.30152204058895,-0.288254407497136,-0.309677477915019,-0.300274588158249,-0.301744716233649,-0.311515818098879,-0.259859083523215,-0.275570649284975,-0.294984603149928,-0.322398193693201,-0.290210832965233,-0.26325622313505,-0.288178959976933,-0.298500894593933,-0.259608811434543,-0.2556876172753,-0.287451405177269,-0.28052360292382,-0.284299648604554,-0.30892094339112,-0.309128412486588,-0.299891909217071,-0.262464611486259,-0.305815235322967,-0.274253728073022,-0.312320475860702,-0.283358827815344,-0.279328014524452,-0.273427581401063,-0.275164177484324,-0.297971690154803,-0.272970773642016,-0.278130908566514,-0.285908898793068,-0.2590721190666,-0.268168780932311,-0.279348994127435,-0.271091171081558,-0.260961132080182,-0.27572184079337,-0.278233496642454,-0.252761790859026,-0.256769907747761,-0.288507047190561,-0.29976788406047,-0.280729628240416
1923,-0.32150483115783,-0.252996360849253,-0.253464815699967,-0.257405962295067,-0.283433967421547,-0.294436859933638,-0.270260631503042,-0.27620798441924,-0.310497044340028,-0.311810487517665,-0.269309667044807,-0.268634380312399,-0.291522273665247,-0.268443852486106,-0.280720243949623,-0.285094450919846,-0.270289848613286,-0.228071666510528,-0.26710690922436,-0.256364155378303,-0.261559827449467,-0.291570054048507,-0.26886618702083,-0.22919545030759,-0.287006737235362,-0.208557136575721,-0.239290094906408,-0.274167610525933,-0.268870341618895,-0.308567609115992,-0.26944341521752,-0.258205758982264,-0.279640584601522,-0.249363083430345,-0.25955022723727,-0.284536807319398,-0.238189166299614,-0.28161440688871,-0.284323444792786,-0.261523744180921,-0.287242846767908,-0.297336497893903,-0.278366182920968,-0.265122355068177,-0.28140329201013,-0.239133311030042,-0.303547616133117,-0.263214543866703,-0.282187430901291,-0.244089559109917,-0.271439634027794,-0.292504318517792,-0.265432238248655,-0.26270609454853,-0.281428106505384,-0.254035921635475,-0.299982641081063,-0.276633054387344,-0.278787710676597,-0.255994982389213,-0.31508340031245,-0.287976007877842,-0.252330221681761,-0.275546366506638,-0.322304877585522,-0.248604096872401,-0.265660775706892,-0.28653252023722,-0.259988433928404,-0.312420433775185,-0.285253837570022,-0.262160615946213,-0.282515326496619,-0.270098838624064,-0.273767178183136,-0.22837213930435,-0.265627366958667,-0.264035178539821,-0.273016911909311,-0.284068051571779,-0.246051473441762,-0.28567294452967,-0.287192599061325,-0.260485495104648,-0.290845435746782,-0.26646322786208,-0.298220721955335,-0.234867867937275,-0.260627089581561,-0.252492145916405,-0.232765962683087,-0.246544717238392,-0.279566878518258,-0.290480906768475,-0.28148443961689,-0.260135996552392,-0.270636770079712,-0.295758148602447,-0.30352358012603,-0.231006709001766
1924,-0.272800853644036,-0.273320722275203,-0.26519856089518,-0.280832795392153,-0.270770195513019,-0.291616464653643,-0.275789455973367,-0.291167059247585,-0.263149756768074,-0.297880594073647,-0.275245821891649,-0.270944056911818,-0.3259937159162,-0.261599126735635,-0.257409805180302,-0.244550687128703,-0.25333182196812,-0.264679270342259,-0.271315125532858,-0.264805086762576,-0.284387306511337,-0.266154553998576,-0.273831267522533,-0.284133519801528,-0.268079293161605,-0.311185849999573,-0.260708505656305,-0.288622133525628,-0.258943016075451,-0.259598465243688,-0.310416220305312,-0.263677182513269,-0.234677236161787,-0.335103530762872,-0.235178221387464,-0.249204578911154,-0.229750622488014,-0.263631121682884,-0.2644720153037,-0.294888059943929,-0.269410435411548,-0.227782543804957,-0.250050274709371,-0.31948933560863,-0.285089047528783,-0.25197679499701,-0.293635500954446,-0.268839352187829,-0.274384454829707,-0.284682130198618,-0.310158149084576,-0.293798091327034,-0.27267334599706,-0.292575666812168,-0.268558017206027,-0.249366634297265,-0.289916699753885,-0.314720259800341,-0.311518479783915,-0.245988984364076,-0.29720404842458,-0.27995003839874,-0.268974632298211,-0.29699370816855,-0.245650441157387,-0.288084147203582,-0.236826328758564,-0.272029635250232,-0.282275862870596,-0.297890564821184,-0.281032540709942,-0.3279211770148,-0.298213784857774,-0.282843401790098,-0.26116548988744,-0.239432459593741,-0.280720285492685,-0.264544696926123,-0.269121078887167,-0.288993944577276,-0.279454543401404,-0.253733931869886,-0.254448005417627,-0.291296604508916,-0.277822760002908,-0.263851506859248,-0.279350910596909,-0.275102944537626,-0.251989943373286,-0.287160029788323,-0.276688632547599,-0.269244415468436,-0.250567641264024,-0.275623120401026,-0.241433911297355,-0.28362340425895,-0.309019439712396,-0.281994212590528,-0.322669871708573,-0.285811756608986
1925,-0.233339659908578,-0.238879562690403,-0.198641571728729,-0.223781527540893,-0.233737696802787,-0.256323080906597,-0.194206073132192,-0.231866298925356,-0.241931006961586,-0.224317073992881,-0.215237968182549,-0.191578537702763,-0.220659182690399,-0.200967955432692,-0.188833052374562,-0.211282963036008,-0.207476559279432,-0.198287464046246,-0.242432460478394,-0.20925570752719,-0.249828338094832,-0.227449000817387,-0.21273591608246,-0.202315070466203,-0.190753922748418,-0.201635626579608,-0.220153696063533,-0.190669996849787,-0.216690276965342,-0.224289258577484,-0.222909681943249,-0.221112506555773,-0.232259179787376,-0.235168373639648,-0.228905744927614,-0.219498020819369,-0.186482290675761,-0.205798441695818,-0.213836686263881,-0.228475358833145,-0.196637257527489,-0.235979202196617,-0.220555762066469,-0.246538945713114,-0.202732296140533,-0.204342307310375,-0.198989422363092,-0.194122398291255,-0.248311614933479,-0.222634359856413,-0.234183216712932,-0.244526079182206,-0.204997033536736,-0.257751218442565,-0.215389195410842,-0.240418623697347,-0.269189193370736,-0.179920777658638,-0.224092703640253,-0.219180988664815,-0.211897855649166,-0.210274076259598,-0.169463035497377,-0.246511599936845,-0.214481579603085,-0.257729121194584,-0.242525801282206,-0.237925864840671,-0.226288037851877,-0.239156285719195,-0.241287049840049,-0.184457477735126,-0.209599613722461,-0.187174485449122,-0.217245032910263,-0.209460801870973,-0.210837992818373,-0.211194068286116,-0.2155763657519,-0.205148100600304,-0.204856697891613,-0.204583998048297,-0.200967250782651,-0.182937424415643,-0.183989101436572,-0.230549281498282,-0.192952721615481,-0.203181679096122,-0.251040146513483,-0.210132747449242,-0.185745291965299,-0.200205004525937,-0.190997710887027,-0.231756502630649,-0.186599507053842,-0.249109145536438,-0.229937166969131,-0.197171741069976,-0.218445608224307,-0.206973603900127
1926,-0.117028173879758,-0.12996303618677,-0.0761550815838946,-0.103727572597584,-0.070305961487833,-0.095061770416353,-0.0801291801597149,-0.117649921711458,-0.106220568581433,-0.120714354390283,-0.0950261646259936,-0.128515682871015,-0.119118392513524,-0.106274297007805,-0.10975362088608,-0.152221836357671,-0.0848028676707149,-0.090359051160443,-0.0838706236763121,-0.0993555003435494,-0.112479172638065,-0.120389926944356,-0.136762828320999,-0.0993039034994586,-0.116956457785164,-0.102495658827152,-0.130508533352781,-0.129350126278571,-0.124759288849133,-0.107672894567176,-0.120868002484496,-0.154352222346327,-0.0799358391146507,-0.143568912694928,-0.0857500371053647,-0.130669344689451,-0.111553486579251,-0.122476194966718,-0.105675177113854,-0.114315663294681,-0.0901301154263627,-0.129515452473911,-0.0928145901813536,-0.153517874932622,-0.0878441909560483,-0.0784216936711502,-0.120284903954905,-0.154634323502826,-0.108666931706857,-0.141175418627837,-0.12711922361065,-0.10134564634607,-0.108149122886993,-0.109208221099716,-0.0740828846835523,-0.106005806616202,-0.097081248439926,-0.131691601363134,-0.0960210096874472,-0.0788897175004115,-0.107761950186346,-0.142802564922197,-0.104852462152484,-0.133014797456035,-0.119760005537546,-0.127834225406302,-0.0990635279369479,-0.135743644894637,-0.142770974106204,-0.0811873644499614,-0.108515463568836,-0.0769176355558985,-0.12971022716592,-0.0690245006879068,-0.114125038920069,-0.0785152047485304,-0.111510724757118,-0.11213187255182,-0.123699804670834,-0.0976348126277999,-0.104232147490146,-0.097214485409073,-0.0930658580167699,-0.147145743536386,-0.0962077646761771,-0.126485839354155,-0.121942631113786,-0.0941397623381607,-0.131194388626533,-0.115437583587108,-0.0848732236128399,-0.144274522290713,-0.111870219031934,-0.143506840854435,-0.107942314663537,-0.151520463267535,-0.112207256224779,-0.117297268292683,-0.121202286137202,-0.107550421701802
1927,-0.174057237371388,-0.221876669228516,-0.189767730653511,-0.200702750869166,-0.182383374122604,-0.206198796918946,-0.183226247071332,-0.204715832355892,-0.202887849871785,-0.200406185633122,-0.187830862061987,-0.221101192855607,-0.236221865661819,-0.201484023910237,-0.197174329507918,-0.193904107135815,-0.175977846756915,-0.232163909316934,-0.236768490662202,-0.229796224873821,-0.205266800616924,-0.225743887419192,-0.232002314735679,-0.203468282491422,-0.202670451690717,-0.198921197457131,-0.202438372874551,-0.235404568467257,-0.19702733018521,-0.205081219559633,-0.203490232259193,-0.245034333925998,-0.203756274511289,-0.208016532264191,-0.229668243142818,-0.187916054478827,-0.232141622563653,-0.196191597396518,-0.226270997807131,-0.208173368228378,-0.194574429756908,-0.196036650029138,-0.198587072083316,-0.21281648718016,-0.194304247635092,-0.214898603369079,-0.221559358292575,-0.218309756740698,-0.230974075085373,-0.233274717595013,-0.236231260896238,-0.232850968845736,-0.218410529765099,-0.176005145468179,-0.176419124691223,-0.244217662401759,-0.183960222702729,-0.216327126974351,-0.264616440974526,-0.198598620232027,-0.201875710546238,-0.233089647649834,-0.216915147186678,-0.219144994647417,-0.197856735260317,-0.209231795600806,-0.243430655930247,-0.205109784113829,-0.201432559487166,-0.204486724641604,-0.216831875440381,-0.184142169475278,-0.180400845584578,-0.179262898235169,-0.195096696575308,-0.192329851129381,-0.224743314487426,-0.189694826072877,-0.214230303663459,-0.204739008374221,-0.193370206254266,-0.206316863937795,-0.246687969444454,-0.248652775006853,-0.206933599771468,-0.227936310005504,-0.189960501658684,-0.1884498078841,-0.213777702106553,-0.216513823810882,-0.232656857460711,-0.237988907455558,-0.177859537699603,-0.189994959365345,-0.223574751862826,-0.18896248484679,-0.19241463301059,-0.17901749572912,-0.223226229163012,-0.216339879908268
1928,-0.192737462072225,-0.216132309382896,-0.238271716451894,-0.22030258427935,-0.189801592127551,-0.215698018918838,-0.209085595276583,-0.230823115595992,-0.17824664979755,-0.200416725339023,-0.182877483970612,-0.152942082276064,-0.181861622819991,-0.228664428600003,-0.224886341304187,-0.25579698235595,-0.18067721226866,-0.235009642433478,-0.177543583599046,-0.221817718864809,-0.146157631792608,-0.164224051060888,-0.203347613538485,-0.231632256188518,-0.216620300972516,-0.200790344842686,-0.254189554443512,-0.210308567794073,-0.221167126459154,-0.217506424628175,-0.239035211263528,-0.229175546044942,-0.232864256352433,-0.219397573453546,-0.20296443333302,-0.215977773445403,-0.227583752090514,-0.234651322810909,-0.197434338890238,-0.220516208163128,-0.211388500548118,-0.20656465109486,-0.226811797341529,-0.168972970765106,-0.198619040428118,-0.23131741992681,-0.217225197957236,-0.233159236040461,-0.190860623610127,-0.223051994526764,-0.208354637830212,-0.214795345622464,-0.237843786688979,-0.200550293572195,-0.193995972489596,-0.223898455925639,-0.160562324525788,-0.163348469501359,-0.192882400926194,-0.207149519305375,-0.197455656113756,-0.200267952798389,-0.222540072957243,-0.2243528236075,-0.248520460551209,-0.179526292875239,-0.204952421976376,-0.196205110964921,-0.19968793532899,-0.20778655840655,-0.264322360512752,-0.232089650616034,-0.212997079225287,-0.220683216079946,-0.236489555871022,-0.265903705991227,-0.211263475644166,-0.222172569612057,-0.218232786856169,-0.196986676226947,-0.209893187476514,-0.214921753226906,-0.185581254208603,-0.2000090216899,-0.211004753205036,-0.227204330915453,-0.212036284297292,-0.222199641628381,-0.182091581018417,-0.199302500391772,-0.218989609581479,-0.227250523244953,-0.252375490799575,-0.209847871439606,-0.215415862702583,-0.205132820096708,-0.202009210205563,-0.256703014011544,-0.187103660474665,-0.197716610162539
1929,-0.370345862754498,-0.340351692084118,-0.346371132795789,-0.340632224060552,-0.369794428946887,-0.360794928609604,-0.377253347461903,-0.345440123158351,-0.367987447114004,-0.350264491815493,-0.34768698838143,-0.353808655296529,-0.360702879970052,-0.374588311947684,-0.348095024231332,-0.321620680248927,-0.335288751804784,-0.306860682566371,-0.364012058236815,-0.334801460574577,-0.368149696486168,-0.314755767824143,-0.357573288347633,-0.319486977544288,-0.376100738694545,-0.363821551794834,-0.340434024182185,-0.34225718360514,-0.313533797092991,-0.352162058608225,-0.343850613699451,-0.324724279956219,-0.37306341965148,-0.375658883663654,-0.350762470438124,-0.34866781528187,-0.357480344728549,-0.326360797026245,-0.356462793179203,-0.379507362439523,-0.35676155018345,-0.329753820321951,-0.341781282034437,-0.372875828877128,-0.360616063516038,-0.373000394713942,-0.356031865627355,-0.369110197509683,-0.346900307478704,-0.365991040117053,-0.325805391140783,-0.329270394908293,-0.342697858758821,-0.343090611847148,-0.322521665153659,-0.38501500237066,-0.361316193612213,-0.350198686207538,-0.35337214550851,-0.363050118406009,-0.318716569903608,-0.357754997558945,-0.313414881009837,-0.347902133746823,-0.361019730880282,-0.342960844204815,-0.337297335632826,-0.327996664415859,-0.345445412502731,-0.340997868787548,-0.336396949881367,-0.33632643580233,-0.353117448251085,-0.335942467828574,-0.33563953253219,-0.334351317457901,-0.357060570070838,-0.37544961387116,-0.35917199685883,-0.369273619004742,-0.370297040130526,-0.373057930487332,-0.359645253743791,-0.314842635569165,-0.347137565183771,-0.355511643161523,-0.329071438340691,-0.359085945486452,-0.357254831564826,-0.351090032580497,-0.325782133217199,-0.348583820322635,-0.354649524922384,-0.373485718839287,-0.373442613863846,-0.326991854587605,-0.361041107709877,-0.382605395742615,-0.37820769278086,-0.377148443281276
